Unnamed: 0,GSM7465980,GSM7466027,GSM7466030,GSM7466008,GSM7466062,GSM7465978,GSM7466031,GSM7466033,GSM7465983,GSM7466002,GSM7465990
!Sample_characteristics_ch1,18,19,20,21,22,23,24,25,26,27,28
TSPAN6,0.682584251,0.699665218,0.663388614,0.669596775,0.657846631,0.856482973,0.700947673,0.673389146,0.686004389,0.657611489,0.874028625
TNMD,0.068781911,0.146612904,0.045302271,0.134860348,0.170100894,0.064503362,0.027705645,0.039919675,0.058917151,0.090818214,0.113387738
DPM1,0.853561894,0.877739817,0.865482847,0.866110153,0.838147906,0.892876287,0.867784363,0.894230305,0.780305541,0.86181203,0.909381727
SCYL3,0.498798138,0.554811897,0.564029875,0.593420182,0.5086315,0.561761099,0.547501694,0.535847117,0.606390249,0.553003853,0.576612497
FGR,0.352696437,0.830953157,0.609042356,0.453980774,0.89319551,0.51615157,0.842685031,0.640737157,0.517172483,0.526151922,0.498010554
CFH,0.549604448,0.482706251,0.489257089,0.450778736,0.40837477,0.482506648,0.417590595,0.405339161,0.455195877,0.557685632,0.401648624
FUCA2,0.729779888,0.791431136,0.796190916,0.66612336,0.719296232,0.688210713,0.768221889,0.723012744,0.626579427,0.677957389,0.685388354
GCLC,0.546244747,0.607274505,0.647833448,0.622499308,0.476559426,0.723371335,0.61126748,0.55216836,0.772735593,0.519810691,0.902771848
NFYA,0.370674972,0.425980928,0.380762663,0.370600213,0.296180118,0.389386999,0.398781862,0.433608775,0.310690888,0.307723294,0.356002145
LAS1L,0.626034916,0.536644884,0.599274976,0.556848928,0.521059948,0.621666054,0.520260156,0.560507659,0.628920625,0.582044275,0.6520412
ENPP4,0.470096912,0.509297817,0.456683177,0.631214459,0.45078077,0.453703745,0.457615845,0.51524558,0.346701914,0.421529434,0.497820444
SEMA3F,0.411601186,0.456217139,0.423100973,0.375496179,0.532778776,0.367662671,0.414508731,0.561792697,0.476113813,0.347458954,0.347098418
CFTR,0.510843208,0.310788757,0.405331644,0.29972893,0.413204243,0.429831615,0.30144858,0.646853026,0.352843729,0.499663995,0.285339482
ANKIB1,0.791485422,0.701767194,0.724409218,0.742531152,0.724490748,0.755321932,0.733349493,0.759010018,0.750496138,0.732824773,0.752067262
CYP51A1,0.493159121,0.62674652,0.609896564,0.644645435,0.613680257,0.587966889,0.592713596,0.622281075,0.581737389,0.56368876,0.651892007
KRIT1,0.486057289,0.483264313,0.47769823,0.547383605,0.450479738,0.546137343,0.49225831,0.420890999,0.43962958,0.506234867,0.59997203
RAD52,0.227108875,0.042145636,0.247685823,0.099155393,0.184301331,0.128489481,0.200284817,0.155178616,0.182552699,0.121769551,0.230575416
BAD,0.668285049,0.618581982,0.684282187,0.579337998,0.605744861,0.685824385,0.6199114,0.560169809,0.590528554,0.62953636,0.671922246
LAP3,0.804980114,0.782807915,0.838441154,0.735993461,0.799678291,0.811971942,0.771231175,0.79182177,0.660163198,0.778492356,0.81910733
CD99,0.895705702,0.893121422,0.874177265,0.857756539,0.860552128,0.839294154,0.793948488,0.780263025,0.850270462,0.901122049,0.840559055
HS3ST1,0.252407862,0.488803471,0.34962704,0.256793562,0.501351237,0.387089817,0.367452695,0.516207542,0.370182022,0.362195716,0.458476678
WNT16,0.178307376,0.208298404,0.066532159,0.158607018,0.044566692,0.272433767,0.051109182,0.15825805,0.107965313,0.031560823,0.232797276
HECW1,0.093064596,0.210756087,0.092048909,0.183479142,0.23591134,0.212100633,0.207919596,0.176133253,0.178484835,0.120918362,0.208167241
MAD1L1,0.407092855,0.335665669,0.369070846,0.351027897,0.287471359,0.27624329,0.303217997,0.344050067,0.413478098,0.376378149,0.294320105
LASP1,0.943022801,0.938308034,0.942492499,0.957928238,0.946150086,0.946303157,0.951576994,0.949996167,0.951339957,0.943540303,0.945644749
SNX11,0.613905377,0.732456259,0.645544103,0.606921999,0.631569083,0.586637041,0.632933237,0.625810835,0.560053006,0.604482423,0.542313113
TMEM176A,0.362274002,0.558598137,0.447833066,0.472042891,0.451202404,0.578069463,0.488750068,0.430918501,0.463656103,0.586439297,0.487621235
M6PR,0.721069091,0.786687998,0.712054317,0.719769254,0.764417917,0.756800521,0.761900197,0.776328207,0.604100944,0.715143694,0.773778832
KLHL13,0.696278107,0.666731689,0.617186042,0.693452677,0.558059001,0.643462402,0.721400364,0.370698207,0.634868836,0.673905274,0.737035107
CYP26B1,0.262973607,0.247212021,0.217490514,0.263166166,0.578156147,0.279948694,0.339788745,0.735700149,0.180300277,0.427601789,0.555475985
ICA1,0.667449926,0.746119612,0.730760175,0.790098901,0.684484851,0.594433531,0.717817261,0.681661777,0.706778016,0.589311147,0.630986133
DBNDD1,0.611812855,0.704731861,0.756720375,0.583710212,0.712852973,0.63375605,0.726998556,0.750342575,0.680636724,0.637186437,0.570577397
ALS2,0.597780326,0.625658972,0.617114343,0.643243456,0.600366136,0.629079323,0.589193675,0.62508943,0.628774155,0.659569121,0.621948073
CASP10,0.177275538,0.231882522,0.182565409,0.233388966,0.079939026,0.275461955,0.28607002,0.215324882,0.084195761,0.256254316,0.18257446
CFLAR,0.628669079,0.621826,0.672271008,0.713994983,0.767828618,0.617114764,0.654616884,0.756465664,0.775392017,0.741287779,0.619918919
TFPI,0.595012785,0.722860652,0.702153241,0.752607579,0.887128963,0.721859173,0.908601393,0.929161342,0.479539531,0.846145506,0.715909076
RBM5,0.77080357,0.76319064,0.797125298,0.84270159,0.749577705,0.805351901,0.791807214,0.735941161,0.868040024,0.860814957,0.816673055
MTMR7,0.125392863,0.218921814,0.277677123,0.073263958,0.275479107,0.226496385,0.145709347,0.193152444,0.149551371,0.233319456,0.155832121
SLC7A2,0.652603178,0.872738426,0.879713972,0.585729358,0.962225464,0.615745702,0.882279829,0.787758032,0.797459536,0.735478272,0.690257328
ARF5,0.873686598,0.841405821,0.849355475,0.825764037,0.795486282,0.843456502,0.802897449,0.775910806,0.876774037,0.833729984,0.810005381
SARM1,0.460698789,0.475799828,0.418341871,0.373511643,0.289938326,0.402589807,0.37812837,0.336133012,0.4741886,0.396412742,0.403071312
